country,region,income_level,platform_name,domain,website_url,app_link,platform_format,platform_type,platform_classification,tier,tier_label,target_audience,accessible_without_account,offline_functionality,mobile_compatible,working_links,regularly_updated,interactive_content,fln_resources,accessible_for_disabilities,available_languages,national_languages_covered,available,has_url,generic_hosting,notes
Mexico,Latin America & Caribbean,Upper middle income,TELEsecundaria,telesecundaria.sep.gob.mx,https://telesecundaria.sep.gob.mx/,,resource hub,YouTube,national,1,Tier 1,students and teachers,yes,yes,yes,yes,unknown,yes,no,yes,Spanish,yes,True,True,False,"- Content is categorised by students, teachers, principals and parents
- Content for children with disabilities: Audio and YouTube Videos with subtitles
- Has a YouTube channel"
Mexico,Latin America & Caribbean,Upper middle income,TELEsecundaria,,,https://play.google.com/store/apps/details?id=sep.telesecundaria.ts,resource hub,,unknown,1,Tier 1,students and teachers,yes,yes,yes,yes,unknown,no,yes,unknown,Spanish,yes,True,False,False,
Mexico,Latin America & Caribbean,Upper middle income,Aprende en casa,aprendeencasa.sep.gob.mx,https://aprendeencasa.sep.gob.mx/,,resource hub,,national,1,Tier 1,students,yes,no,no,yes,yes,yes,yes,yes,"Spanish, native languages",yes,True,True,False,"- Platform offers phone numbers and emails for students to make questions to teachers 
- Platform didn't pass mobile-friendly test because URL is not available to Google"
Mexico,Latin America & Caribbean,Upper middle income,CONALITEG,conaliteg.sep.gob.mx,https://www.conaliteg.sep.gob.mx/index.html,,resource hub,,national,1,Tier 1,students and teachers,yes,no,yes,yes,yes,no,yes,no,"Spanish, native languages",yes,True,True,False,- Content for children with disabilities:  Printed books (Braille) are distributed to students
Mexico,Latin America & Caribbean,Upper middle income,CONALITEG,,,https://play.google.com/store/apps/details?id=gob.mx.conaliteg.bibliotecadigital&hl=es&gl=US,resource hub,,unknown,1,Tier 1,students and teachers,yes,no,yes,yes,yes,no,yes,no,"Spanish, native languages",yes,True,False,False,
Mexico,Latin America & Caribbean,Upper middle income,Nueva escuela mexicana,nuevaescuelamexicana.sep.gob.mx,https://nuevaescuelamexicana.sep.gob.mx/,,resource hub,,national,1,Tier 1,students and teachers,yes,no,unknown,yes,unknown,no,no,no,Spanish,yes,True,True,False,"- Requires creating an account to access  more resources
- The resources available without an account are the same as the provided in 'Aprendo en casa' platform"
Mexico,Latin America & Caribbean,Upper middle income,Pasaporte al aprendizaje ,mexico.learningpassport.org,https://mexico.learningpassport.org/,,resource hub,Learning Passport,other,3,Other,students,no,yes,yes,unknown,unknown,unknown,unknown,unknown,"Spanish
English",yes,True,True,False,- This platform is part of the Learning Passport solution (UNICEF)
"Micronesia, Fed. Sts.",East Asia & Pacific,Lower middle income,FSM Education Distance Learning,distancelearning.doe.fm,https://www.distancelearning.doe.fm/,,resource hub,Google,national,1,Tier 1,students and teachers,yes,no,yes,yes,unknown,unknown,yes,no,English,yes,True,True,False,The website says there will be a Learning Portal coming soon; many materials are stored on google drive; many tabs and functions listed on the website are not available. 
Moldova,Europe & Central Asia,Upper middle income,Educati Online,educatieonline.md,http://educatieonline.md/,,resource hub,,national,1,Tier 1,students,yes,no,yes,yes,no,no,yes,yes,"Romanian, Russian, English ",yes,True,True,False,"- Examples of FLN content can be found here 
- Offers a variety of video lessons and didactic material
-The platform provided by MoE, Culture and Research in partnership with the Chisinau City Hall
- Implemented by the Mayor's Office of the Municipality of Chisinau
- The platform also provides educational support to parents as well as psychological advices to students
"
Mongolia,East Asia & Pacific,Lower middle income,Mongolian Education Learning System (MEDLE) - web,medle.mn,https://medle.mn/,,resource hub,,national,1,Tier 1,students and teachers,yes,no,yes,yes,unknown,yes,yes,yes,Mongolian,yes,True,True,False,FLN resources; Some courses include interactive interfaces for children to engage with
